ID,SEMEST,MATRICULA_T,C_R
16367,2018-2,Cachimbos,1
16367,2019-1,Regulares,2
16367,2019-2,Regulares,3
16367,2020-1,Regulares,3
16367,2020-2,Regulares,4
16367,2021-1,Regulares,5
16367,2021-2,Regulares,6
16367,2022-1,Regulares,8
16367,2022-2,Regulares,10
16367,2023-1,Promoción,11
16367,2024-1,Reincorporados,11
16389,2018-2,Cachimbos,1
16389,2019-1,Regulares,2
16389,2019-2,Regulares,3
16389,2020-1,Regulares,4
16389,2020-2,Regulares,5
16389,2021-1,Regulares,7
16389,2021-2,Regulares,7
16389,2022-1,Regulares,8
16389,2023-1,Regulares,10
16389,2023-2,Regulares,11
16389,2024-1,Regulares,11
16491,2018-2,Cachimbos,1
16491,2019-1,Regulares,2
16491,2019-2,Regulares,3
16491,2020-1,Regulares,4
16491,2020-2,Regulares,5
16491,2021-1,Regulares,6
16491,2021-2,Regulares,7
16491,2022-1,Regulares,8
16491,2023-1,Regulares,10
16491,2023-2,Regulares,11
16491,2024-1,Reincorporados,11
16783,2019-1,Cachimbos,1
16783,2019-2,Regulares,2
16783,2020-1,Regulares,3
16783,2020-2,Regulares,5
16783,2021-1,Regulares,6
16783,2021-2,Regulares,6
16783,2022-1,Regulares,7
16783,2023-1,Regulares,9
16783,2023-2,Regulares,10
16783,2024-1,Regulares,10
16849,2019-1,Cachimbos,1
16849,2019-2,Regulares,3
16849,2020-1,Regulares,4
16849,2020-2,Regulares,4
16849,2021-1,Regulares,6
16849,2021-2,Regulares,7
16849,2022-1,Regulares,8
16849,2023-1,Regulares,10
16849,2023-2,Regulares,10
16849,2024-1,Regulares,10
16869,2019-1,Cachimbos,1
16869,2019-2,Regulares,2
16869,2020-1,Regulares,3
16869,2020-2,Regulares,4
16869,2021-1,Regulares,5
16869,2021-2,Regulares,6
16869,2022-1,Regulares,7
16869,2022-2,Regulares,8
16869,2023-1,Regulares,9
16869,2023-2,Regulares,11
16869,2024-1,Promoción,11
16897,2019-1,Cachimbos,1
16897,2019-2,Regulares,2
16897,2020-1,Regulares,3
16897,2020-2,Regulares,4
16897,2021-1,Regulares,5
16897,2021-2,Regulares,6
16897,2022-1,Regulares,7
16897,2022-2,Regulares,8
16897,2023-2,Reincorporados,10
16897,2024-1,Promoción,10
16919,2019-1,Cachimbos,1
16919,2019-2,Regulares,2
16919,2020-1,Regulares,3
16919,2020-2,Regulares,4
16919,2021-1,Regulares,5
16919,2021-2,Regulares,7
16919,2022-1,Regulares,8
16919,2023-1,Regulares,9
16919,2023-2,Regulares,10
16919,2024-1,Regulares,10
16941,2019-1,Cachimbos,1
16941,2019-2,Regulares,3
16941,2020-1,Regulares,4
16941,2020-2,Regulares,5
16941,2021-1,Regulares,6
16941,2021-2,Regulares,7
16941,2022-1,Regulares,8
16941,2022-2,Regulares,9
16941,2023-1,Regulares,10
16941,2023-2,Promoción,11
16941,2024-1,Promoción,11
16945,2019-1,Cachimbos,1
16945,2019-2,Regulares,2
16945,2020-1,Regulares,3
16945,2020-2,Regulares,4
16945,2021-1,Regulares,5
16945,2021-2,Regulares,6
16945,2022-1,Regulares,8
16945,2023-1,Regulares,9
16945,2023-2,Regulares,10
16945,2024-1,Regulares,10
16950,2019-1,Cachimbos,1
16950,2019-2,Regulares,2
16950,2020-1,Regulares,3
16950,2020-2,Regulares,4
16950,2021-1,Regulares,5
16950,2021-2,Regulares,6
16950,2022-1,Regulares,7
16950,2023-1,Regulares,9
16950,2023-2,Regulares,10
16950,2024-1,Regulares,10
16964,2019-1,Cachimbos,1
16964,2019-2,Regulares,3
16964,2020-1,Regulares,4
16964,2020-2,Regulares,4
16964,2021-1,Regulares,6
16964,2021-2,Regulares,6
16964,2022-1,Regulares,7
16964,2022-2,Regulares,8
16964,2023-1,Regulares,10
16964,2023-2,Regulares,10
16964,2024-1,Promoción,11
16994,2019-1,Cachimbos,1
16994,2019-2,Regulares,3
16994,2020-1,Regulares,3
16994,2020-2,Regulares,4
16994,2021-1,Regulares,5
16994,2021-2,Regulares,7
16994,2022-1,Regulares,8
16994,2023-1,Regulares,10
16994,2023-2,Regulares,10
16994,2024-1,Regulares,11
17008,2019-1,Cachimbos,1
17008,2019-2,Regulares,3
17008,2020-1,Regulares,3
17008,2020-2,Regulares,4
17008,2021-1,Regulares,5
17008,2021-2,Regulares,6
17008,2022-1,Regulares,7
17008,2023-1,Regulares,9
17008,2023-2,Regulares,10
17008,2024-1,Regulares,10
17014,2019-1,Cachimbos,1
17014,2019-2,Regulares,2
17014,2020-1,Regulares,3
17014,2020-2,Regulares,4
17014,2021-1,Regulares,5
17014,2021-2,Regulares,6
17014,2022-1,Regulares,7
17014,2023-1,Regulares,9
17014,2023-2,Regulares,10
17014,2024-1,Regulares,10
17019,2019-1,Cachimbos,1
17019,2019-2,Regulares,2
17019,2020-1,Regulares,4
17019,2020-2,Regulares,5
17019,2021-1,Regulares,5
17019,2021-2,Regulares,6
17019,2022-1,Regulares,7
17019,2022-2,Regulares,9
17019,2023-1,Regulares,10
17019,2023-2,Promoción,11
17019,2024-1,Promoción,11
17147,2019-1,Cachimbos,1
17147,2019-2,Regulares,2
17147,2020-1,Regulares,3
17147,2020-2,Regulares,5
17147,2021-1,Regulares,6
17147,2021-2,Regulares,7
17147,2022-1,Regulares,8
17147,2022-2,Regulares,9
17147,2023-1,Regulares,10
17147,2023-2,Regulares,11
17147,2024-1,Promoción,11
17182,2019-1,Cachimbos,1
17182,2019-2,Regulares,2
17182,2020-1,Regulares,3
17182,2020-2,Regulares,4
17182,2021-1,Regulares,5
17182,2021-2,Regulares,7
17182,2022-1,Regulares,8
