IDHASH,ID,R_A,FACULTAD,ESPECIALIDAD,SEX,MODALIDAD,NAC_Y,DEPA_HOME
84ADC4307A4D4691BC64055B2F49664BF55147F5F4DFBB51BBC234A8194E9E3CE535E2D3110386B63A46ED390CF03D0B015C9830988D79CFE38914D36931291E,16367,1.0,Ingeniería Eléctrica Y Electrónica,Ingeniería De Telecomunicaciones,M,Ordinario,1999,Lima
89A7E825C6658EABF69251943F9719A0AC64C269AE31EF7894CCFF4FB4C0D8A19E9101586911A6D73023AFAAD6AB9D0039E187F48771326EEC764884C488E191,16389,1.0,Ingeniería Ambiental,Ingeniería Sanitaria,F,Ordinario,1997,Lima
AB758207E15EA09E36AC8C834EE569448E267F2142A80286507BC5DF15428DCDF7219A8ACF8F6D8E16A2B175B4BB62B4A17A8147F7330BEE92332C98F36A47E5,16491,1.0,Ingeniería Ambiental,Ingeniería Sanitaria,M,Ordinario,1997,Lima
0971FA5E4942300EFD6AA31BD385C947C47C09329C60EAAEECB088F3B8580D8741340982D53F94721DADE2DFD1E8CDB34A3C05252BB872D3422622798F42F4F8,16783,1.0,Ingeniería Ambiental,Ingeniería Ambiental,M,Ingreso Escolar Nacional,2002,Puno
16E2D717D308ABC0F122D61F675D445206DFB2D32C593E9598782C34E0D60AEFC8EBBD0E248DD4A7684A60C366E0482C531EEFED41A3FC3A25CCB50C0D0A7A0C,16849,1.0,Ingeniería Ambiental,Ingeniería Sanitaria,M,Ingreso Directo,1995,Lima
1C56E9E49DBE122772BCDB44296AA0B3500AAEF4BCA545B2A298BD363AE91F0AC0BFFDA02D6DB195615431772DBCF2EB87B6775BB36C1112DE7B87B07D3ACD40,16869,1.0,Ingeniería Eléctrica Y Electrónica,Ingeniería De Telecomunicaciones,M,Ordinario,1998,Lima
23BF8E81949C6A7FCE17B223135350E0BB4EF2A9E519BE012B46118D39DD381F14FA634E3C1BADA086A534E7F507B11FA014B594AE4B112926B5F5F8C6C6FB6F,16897,1.0,Ingeniería Eléctrica Y Electrónica,Ingeniería Eléctrica,M,Ordinario,1999,Lima
285F7A83FD389478C27D10D9ABD9F23A9ED18D4B95894ABC2227533C1F2B3740BF41DE1F1FD495E4E59B44A0A92AC94934A5AB25B91123700B216240A38985A4,16919,1.0,Ingeniería Ambiental,Ingeniería Sanitaria,M,Ingreso Directo,2001,Ayacucho
2DD12659872A45407786436C00E8511245757FE91471067B2A115E7906608BCD4B9C2EE7664670812CCDA8FEA7F186FE17237BF093304023BDBD938F400C42AD,16941,1.0,Ingeniería Química Y Textil,Ingeniería Química,M,Dos Primeros Alumnos,2000,Lima
2E5A33F00FF63D8F57AFD989914123A949268FCB4309F66FD259972DA818AECD4DF4751ABB9A7DDB7EF397AD5C08555BC7AC161426D850974A7DDFB2471B0C14,16945,1.0,Ingeniería Ambiental,Ingeniería Ambiental,M,Ordinario,1997,Lima
30619201552B20142905472FC40198935837B3D3F6494404028FD82EC75404427FCA56BA9204EFEF4F423A1018DE1BDF7719B4CE0F6E036D739DD51B5E5CA73A,16950,1.0,Ingeniería Ambiental,Ingeniería Ambiental,F,Ingreso Directo,2001,Lima
3379C0FB2A2D2ACD9745D38B16849E43B0B43C189903946001DD0A492689756724A83C452AF6BFE3D2FD9F1DACEC17F39F39F7F7F38EB9A700FA245E70035D9B,16964,1.0,Ingeniería Química Y Textil,Ingeniería Química,F,Ordinario,2000,Callao
3BC15AB3ADFE25CA029BF342720FA5F5CDB09FC5423381557A5FFE94139999686AE78A008B257DA5D6B861BAEEDD681482F64ABB46941ACD4F95EA34268F1164,16994,1.1,Ingeniería Ambiental,Ingeniería Sanitaria,M,Ordinario,1999,Lima
3FFB0206C4B0CD3B56981BC18A27A9D6199EE3E624270BF58D5EF385AD17D366AC24A2B9AB4D29C64A4BE36216CDE9EB6EDBE696F0CB38A5221C6D2AE572722E,17008,1.0,Ingeniería Ambiental,Ingeniería Sanitaria,M,Ordinario,1999,Lima
416E54C248A4802AFF6081A60A94023B6C9B60CDADB81A689991A3698063A978EDD05103549C74F2E382F03BE7881ABD41CFB2C5DDB0CC33DBF16138B10FD4EC,17014,1.0,Ingeniería Ambiental,Ingeniería Ambiental,M,Ordinario,1999,Lima
